iter	Logloss
0	0.692778555
1	0.6922767824
2	0.6917189155
3	0.6913756683
4	0.6908858249
5	0.6905019058
6	0.6900514414
7	0.6894408433
8	0.6889781996
9	0.688454213
10	0.6880514762
11	0.6875577061
12	0.6874211484
13	0.6871561416
14	0.6866218394
15	0.6863462749
16	0.6862436221
17	0.6858593302
18	0.6854792431
19	0.6850845116
20	0.6846084173
21	0.684175907
22	0.683784752
23	0.6832874372
24	0.6826785601
25	0.6822238391
26	0.6819045634
27	0.6814389455
28	0.6808322827
29	0.6805669413
30	0.6802237689
31	0.6797653862
32	0.6791536574
33	0.6789120051
34	0.6785246128
35	0.678102319
36	0.6777260306
37	0.677393441
38	0.6770061102
39	0.6763964481
40	0.6759272978
41	0.6754532768
42	0.6753270742
43	0.6747607655
44	0.6746199594
45	0.6742052153
46	0.6737325376
47	0.6732562017
48	0.6730582994
49	0.6724804861
50	0.6719494528
51	0.6716467696
52	0.6712275415
53	0.6707841494
54	0.6706978996
55	0.6701826511
56	0.6697682361
57	0.6695441703
58	0.6690973938
59	0.6687068809
60	0.6682574129
61	0.6680333428
62	0.6676535121
63	0.6674040521
64	0.6669746641
65	0.6663676382
66	0.6658544378
67	0.6655899201
68	0.6652643801
69	0.6652073653
70	0.6649099066
71	0.6644854487
72	0.6642220837
73	0.6638854687
74	0.6635632489
75	0.6633712523
76	0.6628583898
77	0.6625090545
78	0.6621751912
79	0.6617639527
80	0.6613422185
81	0.660943051
82	0.6603468901
83	0.6599199749
84	0.6593882768
85	0.6590482513
86	0.6587103903
87	0.6581323137
88	0.6579781083
89	0.6575269283
90	0.6571784218
91	0.6567825255
92	0.6565250358
93	0.6559925088
94	0.6555194183
95	0.6551757408
96	0.6546357876
97	0.6545036208
98	0.6540519665
99	0.6535761328
100	0.6532407544
101	0.6527150442
102	0.6522330752
103	0.6518507862
104	0.6514800076
105	0.6513381439
106	0.6510785415
107	0.6506612974
108	0.6501778156
109	0.6498393538
110	0.6494540982
111	0.6489933117
112	0.6486397149
113	0.6481880951
114	0.6476522472
115	0.6473172895
116	0.6469527433
117	0.6467560858
118	0.6464838038
119	0.6461028026
120	0.6456567338
121	0.6452479736
122	0.6448962338
123	0.6444762954
124	0.6440789099
125	0.6437485791
126	0.6433628578
127	0.6431299953
128	0.6427849474
129	0.6425238698
130	0.6420821219
131	0.6417315961
132	0.6411646956
133	0.6408292454
134	0.6403734525
135	0.6399512565
136	0.6397864463
137	0.6395482273
138	0.6392170688
139	0.638738742
140	0.6382734184
141	0.6379263393
142	0.6376332491
143	0.6372449956
144	0.6369109793
145	0.6365720824
146	0.6362521054
147	0.6359918062
148	0.6354967941
149	0.6351624506
150	0.6347865589
151	0.6344149089
152	0.6340093924
153	0.6338216391
154	0.6334100127
155	0.6333074898
156	0.6329979083
157	0.6327095595
158	0.6323291978
159	0.6319984642
160	0.6317822753
161	0.6313092704
162	0.6308091234
163	0.6304784766
164	0.6301379166
165	0.6298296254
166	0.6294848893
167	0.6292037149
168	0.628969633
