iter	Passed	Remaining
0	1	202
1	2	202
2	3	197
3	4	194
4	5	193
5	7	192
6	8	189
7	9	187
8	10	185
9	11	185
10	12	183
11	14	183
12	15	182
13	16	181
14	17	180
15	18	180
16	20	180
17	21	179
18	22	178
19	23	176
20	25	176
21	26	175
22	27	174
23	28	172
24	29	172
25	31	171
26	31	167
27	33	166
28	34	165
29	35	164
30	36	163
31	38	163
32	39	161
33	40	160
34	41	159
35	42	158
36	44	156
37	45	155
38	46	154
39	47	153
40	48	152
41	50	151
42	51	150
43	52	149
44	53	146
45	54	146
46	55	144
47	57	143
48	58	142
49	59	141
50	60	140
51	61	139
52	63	138
53	64	136
54	65	135
55	66	134
56	67	133
57	69	132
58	70	130
59	71	129
60	72	128
61	73	127
62	75	126
63	76	125
64	77	123
65	78	122
66	79	121
67	80	120
68	82	118
69	82	116
70	83	115
71	84	114
72	85	112
73	87	111
74	88	110
75	88	108
76	89	107
77	90	105
78	91	104
79	92	103
80	94	102
81	95	100
82	96	99
83	97	98
84	98	97
85	99	96
86	100	95
87	101	93
88	101	91
89	103	90
90	104	89
91	105	88
92	106	86
93	107	85
94	108	84
95	109	83
96	111	82
97	112	81
98	112	79
99	114	78
100	115	77
101	116	76
102	117	75
103	118	74
104	120	73
105	121	72
106	122	70
107	123	69
108	124	68
109	125	67
110	126	66
111	127	64
112	128	63
113	129	62
114	131	61
115	132	60
116	133	59
117	134	58
118	135	56
119	136	55
120	137	54
121	138	53
122	139	52
123	140	51
124	141	49
125	143	48
126	144	47
127	144	46
128	145	45
129	147	44
130	148	43
131	149	41
132	150	40
133	151	39
134	153	38
135	153	37
136	154	36
137	156	35
138	157	33
139	158	32
140	159	31
141	160	30
142	161	29
143	162	28
144	164	27
145	165	26
146	166	24
147	167	23
148	168	22
149	169	21
150	170	20
151	172	19
152	173	18
153	174	16
154	175	15
155	176	14
156	178	13
157	179	12
158	180	11
159	181	10
160	182	9
161	183	7
162	184	6
163	185	5
164	186	4
165	187	3
166	189	2
167	190	1
168	191	0
