Feature,Importance,Type
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ahd,196.0,gb_Calibrated
ahd,263.0,gb_Calibrated
ahd,456.0,gb_Calibrated
ahd,593.0,gb_Calibrated
ahd,244.0,gb_Calibrated
ahd,347.0,gb_Calibrated
ahd,400.0,gb_Calibrated
ahd,502.0,gb_Calibrated
ahd,408.0,gb_Calibrated
ahd,436.0,gb_Calibrated
ahd,196.0,gb_Non-Calibrated
ahd,263.0,gb_Non-Calibrated
ahd,456.0,gb_Non-Calibrated
ahd,593.0,gb_Non-Calibrated
ahd,244.0,gb_Non-Calibrated
ahd,347.0,gb_Non-Calibrated
ahd,400.0,gb_Non-Calibrated
ahd,502.0,gb_Non-Calibrated
ahd,408.0,gb_Non-Calibrated
ahd,436.0,gb_Non-Calibrated
chemo,0.0,gb_Calibrated
chemo,136.0,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,70.0,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,78.0,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,42.0,gb_Calibrated
chemo,35.0,gb_Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,136.0,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,70.0,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,78.0,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,42.0,gb_Non-Calibrated
chemo,35.0,gb_Non-Calibrated
age,78.0,gb_Calibrated
age,109.0,gb_Calibrated
age,126.0,gb_Calibrated
age,90.0,gb_Calibrated
age,224.0,gb_Calibrated
age,76.0,gb_Calibrated
age,15.0,gb_Calibrated
age,117.0,gb_Calibrated
age,0.0,gb_Calibrated
age,108.0,gb_Calibrated
age,78.0,gb_Non-Calibrated
age,109.0,gb_Non-Calibrated
age,126.0,gb_Non-Calibrated
age,90.0,gb_Non-Calibrated
age,224.0,gb_Non-Calibrated
age,76.0,gb_Non-Calibrated
age,15.0,gb_Non-Calibrated
age,117.0,gb_Non-Calibrated
age,0.0,gb_Non-Calibrated
age,108.0,gb_Non-Calibrated
BMI,13.0,gb_Calibrated
BMI,0.0,gb_Calibrated
BMI,0.0,gb_Calibrated
BMI,0.0,gb_Calibrated
BMI,28.0,gb_Calibrated
BMI,0.0,gb_Calibrated
BMI,0.0,gb_Calibrated
BMI,0.0,gb_Calibrated
BMI,179.0,gb_Calibrated
BMI,0.0,gb_Calibrated
BMI,13.0,gb_Non-Calibrated
BMI,0.0,gb_Non-Calibrated
BMI,0.0,gb_Non-Calibrated
BMI,0.0,gb_Non-Calibrated
BMI,28.0,gb_Non-Calibrated
