Feature,Importance,Type
ul_amp,-0.09090162559612237,gb_Calibrated
ul_amp,-0.12901892744706145,gb_Calibrated
ul_amp,-0.042348085094102754,gb_Calibrated
ul_amp,-0.1141793090895148,gb_Calibrated
ul_amp,-0.11346090379225734,gb_Calibrated
ul_amp,-0.061095067100109104,gb_Calibrated
ul_amp,-0.13402544871701036,gb_Calibrated
ul_amp,-0.06123855535079583,gb_Calibrated
ul_amp,-0.11469512340577094,gb_Calibrated
ul_amp,-0.07792099685567314,gb_Calibrated
ul_amp,-0.09090162559612237,gb_Non-Calibrated
ul_amp,-0.12901892744706145,gb_Non-Calibrated
ul_amp,-0.042348085094102754,gb_Non-Calibrated
ul_amp,-0.1141793090895148,gb_Non-Calibrated
ul_amp,-0.11346090379225734,gb_Non-Calibrated
ul_amp,-0.061095067100109104,gb_Non-Calibrated
ul_amp,-0.13402544871701036,gb_Non-Calibrated
ul_amp,-0.06123855535079583,gb_Non-Calibrated
ul_amp,-0.11469512340577094,gb_Non-Calibrated
ul_amp,-0.07792099685567314,gb_Non-Calibrated
ll_amp,-0.14567501913263994,gb_Calibrated
ll_amp,-0.13272304716222874,gb_Calibrated
ll_amp,-0.16702882048479856,gb_Calibrated
ll_amp,-0.15590313935402927,gb_Calibrated
ll_amp,-0.17887059444283523,gb_Calibrated
ll_amp,-0.19149998724003484,gb_Calibrated
ll_amp,-0.14205229010620388,gb_Calibrated
ll_amp,-0.14382242691608815,gb_Calibrated
ll_amp,-0.1857975788634658,gb_Calibrated
ll_amp,-0.16313685074302453,gb_Calibrated
ll_amp,-0.14567501913263994,gb_Non-Calibrated
ll_amp,-0.13272304716222874,gb_Non-Calibrated
ll_amp,-0.16702882048479856,gb_Non-Calibrated
ll_amp,-0.15590313935402927,gb_Non-Calibrated
ll_amp,-0.17887059444283523,gb_Non-Calibrated
ll_amp,-0.19149998724003484,gb_Non-Calibrated
ll_amp,-0.14205229010620388,gb_Non-Calibrated
ll_amp,-0.14382242691608815,gb_Non-Calibrated
ll_amp,-0.1857975788634658,gb_Non-Calibrated
ll_amp,-0.16313685074302453,gb_Non-Calibrated
average_amp,-0.12841712980629877,gb_Calibrated
average_amp,-0.09314637003033083,gb_Calibrated
average_amp,-0.14123429168970086,gb_Calibrated
average_amp,-0.16226917457568843,gb_Calibrated
average_amp,-0.11783931512915992,gb_Calibrated
average_amp,-0.1736407710536268,gb_Calibrated
average_amp,-0.11914926591294132,gb_Calibrated
average_amp,-0.08892168294820564,gb_Calibrated
average_amp,-0.15472038764517126,gb_Calibrated
average_amp,-0.1400783637546233,gb_Calibrated
average_amp,-0.12841712980629877,gb_Non-Calibrated
average_amp,-0.09314637003033083,gb_Non-Calibrated
average_amp,-0.14123429168970086,gb_Non-Calibrated
average_amp,-0.16226917457568843,gb_Non-Calibrated
average_amp,-0.11783931512915992,gb_Non-Calibrated
average_amp,-0.1736407710536268,gb_Non-Calibrated
average_amp,-0.11914926591294132,gb_Non-Calibrated
average_amp,-0.08892168294820564,gb_Non-Calibrated
average_amp,-0.15472038764517126,gb_Non-Calibrated
average_amp,-0.1400783637546233,gb_Non-Calibrated
al,-0.013302508832733317,gb_Calibrated
al,-0.032972566923917805,gb_Calibrated
al,-0.0363545455176648,gb_Calibrated
al,-0.056826254376796434,gb_Calibrated
al,-0.044472756721416457,gb_Calibrated
al,-0.06003800421872521,gb_Calibrated
al,-0.05638986701776867,gb_Calibrated
al,-0.03832018358237934,gb_Calibrated
al,-0.006334758242744737,gb_Calibrated
al,-0.06431721381628602,gb_Calibrated
al,-0.013302508832733317,gb_Non-Calibrated
al,-0.032972566923917805,gb_Non-Calibrated
al,-0.0363545455176648,gb_Non-Calibrated
al,-0.056826254376796434,gb_Non-Calibrated
