Feature,Importance,Type
ul_amp,0.0,lgbm_Calibrated
ul_amp,0.0,lgbm_Calibrated
ul_amp,0.0,lgbm_Calibrated
ul_amp,13.0,lgbm_Calibrated
ul_amp,0.0,lgbm_Calibrated
ul_amp,0.0,lgbm_Calibrated
ul_amp,92.0,lgbm_Calibrated
ul_amp,0.0,lgbm_Calibrated
ul_amp,0.0,lgbm_Calibrated
ul_amp,0.0,lgbm_Calibrated
ul_amp,0.0,lgbm_Non-Calibrated
ul_amp,0.0,lgbm_Non-Calibrated
ul_amp,0.0,lgbm_Non-Calibrated
ul_amp,13.0,lgbm_Non-Calibrated
ul_amp,0.0,lgbm_Non-Calibrated
ul_amp,0.0,lgbm_Non-Calibrated
ul_amp,92.0,lgbm_Non-Calibrated
ul_amp,0.0,lgbm_Non-Calibrated
ul_amp,0.0,lgbm_Non-Calibrated
ul_amp,0.0,lgbm_Non-Calibrated
BMI,55.0,lgbm_Calibrated
BMI,72.0,lgbm_Calibrated
BMI,56.0,lgbm_Calibrated
BMI,25.0,lgbm_Calibrated
BMI,94.0,lgbm_Calibrated
BMI,138.0,lgbm_Calibrated
BMI,56.0,lgbm_Calibrated
BMI,44.0,lgbm_Calibrated
BMI,1.0,lgbm_Calibrated
BMI,108.0,lgbm_Calibrated
BMI,55.0,lgbm_Non-Calibrated
BMI,72.0,lgbm_Non-Calibrated
BMI,56.0,lgbm_Non-Calibrated
BMI,25.0,lgbm_Non-Calibrated
BMI,94.0,lgbm_Non-Calibrated
BMI,138.0,lgbm_Non-Calibrated
BMI,56.0,lgbm_Non-Calibrated
BMI,44.0,lgbm_Non-Calibrated
BMI,1.0,lgbm_Non-Calibrated
BMI,108.0,lgbm_Non-Calibrated
average_amp,345.0,lgbm_Calibrated
average_amp,95.0,lgbm_Calibrated
average_amp,347.0,lgbm_Calibrated
average_amp,97.0,lgbm_Calibrated
average_amp,234.0,lgbm_Calibrated
average_amp,150.0,lgbm_Calibrated
average_amp,227.0,lgbm_Calibrated
average_amp,80.0,lgbm_Calibrated
average_amp,3.0,lgbm_Calibrated
average_amp,177.0,lgbm_Calibrated
average_amp,345.0,lgbm_Non-Calibrated
average_amp,95.0,lgbm_Non-Calibrated
average_amp,347.0,lgbm_Non-Calibrated
average_amp,97.0,lgbm_Non-Calibrated
average_amp,234.0,lgbm_Non-Calibrated
average_amp,150.0,lgbm_Non-Calibrated
average_amp,227.0,lgbm_Non-Calibrated
average_amp,80.0,lgbm_Non-Calibrated
average_amp,3.0,lgbm_Non-Calibrated
average_amp,177.0,lgbm_Non-Calibrated
ll_amp,196.0,lgbm_Calibrated
ll_amp,312.0,lgbm_Calibrated
ll_amp,59.0,lgbm_Calibrated
ll_amp,392.0,lgbm_Calibrated
ll_amp,280.0,lgbm_Calibrated
ll_amp,335.0,lgbm_Calibrated
ll_amp,347.0,lgbm_Calibrated
ll_amp,231.0,lgbm_Calibrated
ll_amp,347.0,lgbm_Calibrated
ll_amp,369.0,lgbm_Calibrated
ll_amp,196.0,lgbm_Non-Calibrated
ll_amp,312.0,lgbm_Non-Calibrated
ll_amp,59.0,lgbm_Non-Calibrated
ll_amp,392.0,lgbm_Non-Calibrated
ll_amp,280.0,lgbm_Non-Calibrated
ll_amp,335.0,lgbm_Non-Calibrated
ll_amp,347.0,lgbm_Non-Calibrated
ll_amp,231.0,lgbm_Non-Calibrated
ll_amp,347.0,lgbm_Non-Calibrated
ll_amp,369.0,lgbm_Non-Calibrated
comorb,37.0,lgbm_Calibrated
comorb,0.0,lgbm_Calibrated
comorb,0.0,lgbm_Calibrated
comorb,0.0,lgbm_Calibrated
comorb,0.0,lgbm_Calibrated
comorb,0.0,lgbm_Calibrated
comorb,0.0,lgbm_Calibrated
comorb,0.0,lgbm_Calibrated
comorb,55.0,lgbm_Calibrated
comorb,0.0,lgbm_Calibrated
comorb,37.0,lgbm_Non-Calibrated
comorb,0.0,lgbm_Non-Calibrated
comorb,0.0,lgbm_Non-Calibrated
comorb,0.0,lgbm_Non-Calibrated
comorb,0.0,lgbm_Non-Calibrated
comorb,0.0,lgbm_Non-Calibrated
comorb,0.0,lgbm_Non-Calibrated
comorb,0.0,lgbm_Non-Calibrated
comorb,55.0,lgbm_Non-Calibrated
comorb,0.0,lgbm_Non-Calibrated
ahd,212.0,lgbm_Calibrated
ahd,373.0,lgbm_Calibrated
ahd,328.0,lgbm_Calibrated
ahd,389.0,lgbm_Calibrated
ahd,340.0,lgbm_Calibrated
ahd,323.0,lgbm_Calibrated
ahd,232.0,lgbm_Calibrated
ahd,355.0,lgbm_Calibrated
ahd,414.0,lgbm_Calibrated
ahd,389.0,lgbm_Calibrated
ahd,212.0,lgbm_Non-Calibrated
ahd,373.0,lgbm_Non-Calibrated
ahd,328.0,lgbm_Non-Calibrated
ahd,389.0,lgbm_Non-Calibrated
ahd,340.0,lgbm_Non-Calibrated
ahd,323.0,lgbm_Non-Calibrated
ahd,232.0,lgbm_Non-Calibrated
ahd,355.0,lgbm_Non-Calibrated
ahd,414.0,lgbm_Non-Calibrated
ahd,389.0,lgbm_Non-Calibrated
age,120.0,lgbm_Calibrated
age,141.0,lgbm_Calibrated
age,203.0,lgbm_Calibrated
age,117.0,lgbm_Calibrated
age,145.0,lgbm_Calibrated
age,210.0,lgbm_Calibrated
age,83.0,lgbm_Calibrated
age,216.0,lgbm_Calibrated
age,242.0,lgbm_Calibrated
age,120.0,lgbm_Calibrated
age,120.0,lgbm_Non-Calibrated
age,141.0,lgbm_Non-Calibrated
age,203.0,lgbm_Non-Calibrated
age,117.0,lgbm_Non-Calibrated
age,145.0,lgbm_Non-Calibrated
age,210.0,lgbm_Non-Calibrated
age,83.0,lgbm_Non-Calibrated
age,216.0,lgbm_Non-Calibrated
age,242.0,lgbm_Non-Calibrated
age,120.0,lgbm_Non-Calibrated
surgery,24.0,lgbm_Calibrated
surgery,149.0,lgbm_Calibrated
surgery,102.0,lgbm_Calibrated
surgery,0.0,lgbm_Calibrated
surgery,0.0,lgbm_Calibrated
surgery,0.0,lgbm_Calibrated
surgery,0.0,lgbm_Calibrated
surgery,90.0,lgbm_Calibrated
surgery,0.0,lgbm_Calibrated
surgery,0.0,lgbm_Calibrated
surgery,24.0,lgbm_Non-Calibrated
surgery,149.0,lgbm_Non-Calibrated
surgery,102.0,lgbm_Non-Calibrated
surgery,0.0,lgbm_Non-Calibrated
surgery,0.0,lgbm_Non-Calibrated
surgery,0.0,lgbm_Non-Calibrated
surgery,0.0,lgbm_Non-Calibrated
surgery,90.0,lgbm_Non-Calibrated
surgery,0.0,lgbm_Non-Calibrated
surgery,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Calibrated
al,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Non-Calibrated
al,0.0,lgbm_Non-Calibrated
chemo,9.0,lgbm_Calibrated
chemo,0.0,lgbm_Calibrated
chemo,0.0,lgbm_Calibrated
chemo,0.0,lgbm_Calibrated
chemo,0.0,lgbm_Calibrated
chemo,0.0,lgbm_Calibrated
chemo,0.0,lgbm_Calibrated
chemo,0.0,lgbm_Calibrated
chemo,0.0,lgbm_Calibrated
