Model,Brier Score,AUC,Accuracy,Precision,Recall,F1 Score
rf_calibrated,0.1704918032786885,0.8071120689655172,0.7213114754098361,0.7419354838709677,0.71875,0.7301587301587301
rf_non_calibrated,0.1941993960885008,0.7758620689655172,0.6885245901639344,0.7407407407407407,0.625,0.6779661016949152
xgb_calibrated,0.1666252690842856,0.8227370689655172,0.7540983606557377,0.7428571428571429,0.8125,0.7761194029850746
xgb_non_calibrated,0.1896080535021063,0.7801724137931034,0.7213114754098361,0.8260869565217391,0.59375,0.6909090909090909
lgbm_calibrated,0.170550733954784,0.8098060344827586,0.7540983606557377,0.7428571428571429,0.8125,0.7761194029850746
lgbm_non_calibrated,0.1955103702617322,0.7661637931034482,0.7049180327868853,0.75,0.65625,0.7
cb_calibrated,0.1538480174432689,0.8221982758620691,0.7704918032786885,0.95,0.59375,0.7307692307692307
cb_non_calibrated,0.2374114560570016,0.7661637931034483,0.7049180327868853,0.7916666666666666,0.59375,0.6785714285714286
gb_calibrated,0.1643397586020537,0.8108836206896551,0.7377049180327869,0.9,0.5625,0.6923076923076923
gb_non_calibrated,0.2045455380615149,0.7640086206896551,0.7049180327868853,0.7692307692307693,0.625,0.6896551724137931
knn_calibrated,0.1630411937788987,0.8324353448275863,0.7377049180327869,0.7666666666666667,0.71875,0.7419354838709677
knn_non_calibrated,0.2050507462091909,0.8017241379310345,0.6885245901639344,0.8421052631578947,0.5,0.6274509803921569
lr_calibrated,0.1632247533886878,0.8302801724137931,0.7377049180327869,0.7105263157894737,0.84375,0.7714285714285715
lr_non_calibrated,0.1923338167727538,0.7963362068965517,0.7049180327868853,0.7916666666666666,0.59375,0.6785714285714286
lr_calibrated,0.1729668916747026,0.8022629310344828,0.7213114754098361,0.7272727272727273,0.75,0.7384615384615385
lr_non_calibrated,0.2101401185094782,0.7230603448275863,0.6885245901639344,0.6857142857142857,0.75,0.7164179104477612
nb_calibrated,0.1722801788375559,0.7941810344827587,0.6885245901639344,0.6444444444444445,0.90625,0.7532467532467533
nb_non_calibrated,0.3087985233291816,0.7532327586206896,0.6557377049180327,0.6896551724137931,0.625,0.6557377049180327
svm_calibrated,0.1729668916747026,0.8022629310344828,0.7213114754098361,0.7272727272727273,0.75,0.7384615384615385
svm_non_calibrated,0.2101401185094782,0.7230603448275863,0.6885245901639344,0.6857142857142857,0.75,0.7164179104477612
rf_calibrated,0.1704918032786885,0.8071120689655172,0.7213114754098361,0.7419354838709677,0.71875,0.7301587301587301
rf_non_calibrated,0.1941993960885008,0.7758620689655172,0.6885245901639344,0.7407407407407407,0.625,0.6779661016949152
lr_calibrated,0.1632247533886878,0.8302801724137931,0.7377049180327869,0.7105263157894737,0.84375,0.7714285714285715
lr_non_calibrated,0.1923338167727538,0.7963362068965517,0.7049180327868853,0.7916666666666666,0.59375,0.6785714285714286
lgbm_calibrated,0.170550733954784,0.8098060344827586,0.7540983606557377,0.7428571428571429,0.8125,0.7761194029850746
lgbm_non_calibrated,0.1955103702617322,0.7661637931034482,0.7049180327868853,0.75,0.65625,0.7
knn_calibrated,0.16304119377889872,0.8324353448275863,0.7377049180327869,0.7666666666666667,0.71875,0.7419354838709677
knn_non_calibrated,0.2050507462091909,0.8017241379310345,0.6885245901639344,0.8421052631578947,0.5,0.6274509803921569
