Feature,Importance,Type
ul_amp,0.14054369926452637,gb_Calibrated
ul_amp,0.17275989055633545,gb_Calibrated
ul_amp,0.13894671201705933,gb_Calibrated
ul_amp,0.10006334632635117,gb_Calibrated
ul_amp,0.08262364566326141,gb_Calibrated
ul_amp,0.0,gb_Calibrated
ul_amp,0.06068633869290352,gb_Calibrated
ul_amp,0.08205101639032364,gb_Calibrated
ul_amp,0.17525653541088104,gb_Calibrated
ul_amp,0.19763904809951782,gb_Calibrated
ul_amp,0.14054369926452637,gb_Non-Calibrated
ul_amp,0.17275989055633545,gb_Non-Calibrated
ul_amp,0.13894671201705933,gb_Non-Calibrated
ul_amp,0.10006334632635117,gb_Non-Calibrated
ul_amp,0.08262364566326141,gb_Non-Calibrated
ul_amp,0.0,gb_Non-Calibrated
ul_amp,0.06068633869290352,gb_Non-Calibrated
ul_amp,0.08205101639032364,gb_Non-Calibrated
ul_amp,0.17525653541088104,gb_Non-Calibrated
ul_amp,0.19763904809951782,gb_Non-Calibrated
surgery,0.0,gb_Calibrated
surgery,0.0,gb_Calibrated
surgery,0.0,gb_Calibrated
surgery,0.08868613094091415,gb_Calibrated
surgery,0.23079444468021393,gb_Calibrated
surgery,0.0,gb_Calibrated
surgery,0.0,gb_Calibrated
surgery,0.1589180752635002,gb_Calibrated
surgery,0.0,gb_Calibrated
surgery,0.0,gb_Calibrated
surgery,0.0,gb_Non-Calibrated
surgery,0.0,gb_Non-Calibrated
surgery,0.0,gb_Non-Calibrated
surgery,0.08868613094091415,gb_Non-Calibrated
surgery,0.23079444468021393,gb_Non-Calibrated
surgery,0.0,gb_Non-Calibrated
surgery,0.0,gb_Non-Calibrated
surgery,0.1589180752635002,gb_Non-Calibrated
surgery,0.0,gb_Non-Calibrated
surgery,0.0,gb_Non-Calibrated
chemo,0.0,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,0.14635825902223587,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,0.08719722926616669,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,0.0,gb_Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,0.14635825902223587,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,0.08719722926616669,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
chemo,0.0,gb_Non-Calibrated
age,0.08260942995548248,gb_Calibrated
age,0.11548206955194473,gb_Calibrated
age,0.09617967903614044,gb_Calibrated
age,0.07959511131048203,gb_Calibrated
age,0.10636932402849197,gb_Calibrated
age,0.1045151948928833,gb_Calibrated
age,0.07661888748407364,gb_Calibrated
age,0.10395974665880203,gb_Calibrated
age,0.13351574540138245,gb_Calibrated
age,0.10393386334180832,gb_Calibrated
age,0.08260942995548248,gb_Non-Calibrated
age,0.11548206955194473,gb_Non-Calibrated
age,0.09617967903614044,gb_Non-Calibrated
age,0.07959511131048203,gb_Non-Calibrated
age,0.10636932402849197,gb_Non-Calibrated
age,0.1045151948928833,gb_Non-Calibrated
age,0.07661888748407364,gb_Non-Calibrated
age,0.10395974665880203,gb_Non-Calibrated
age,0.13351574540138245,gb_Non-Calibrated
age,0.10393386334180832,gb_Non-Calibrated
average_amp,0.14256110787391663,gb_Calibrated
average_amp,0.19065125286579132,gb_Calibrated
average_amp,0.3128180205821991,gb_Calibrated
average_amp,0.142571359872818,gb_Calibrated
average_amp,0.10704667121171951,gb_Calibrated
average_amp,0.21487851440906525,gb_Calibrated
average_amp,0.1427752524614334,gb_Calibrated
average_amp,0.18591728806495667,gb_Calibrated
average_amp,0.17945602536201477,gb_Calibrated
average_amp,0.13448466360569,gb_Calibrated
average_amp,0.14256110787391663,gb_Non-Calibrated
average_amp,0.19065125286579132,gb_Non-Calibrated
average_amp,0.3128180205821991,gb_Non-Calibrated
average_amp,0.142571359872818,gb_Non-Calibrated
average_amp,0.10704667121171951,gb_Non-Calibrated
average_amp,0.21487851440906525,gb_Non-Calibrated
average_amp,0.1427752524614334,gb_Non-Calibrated
average_amp,0.18591728806495667,gb_Non-Calibrated
average_amp,0.17945602536201477,gb_Non-Calibrated
average_amp,0.13448466360569,gb_Non-Calibrated
ahd,0.08580803871154785,gb_Calibrated
ahd,0.2929432988166809,gb_Calibrated
ahd,0.18036745488643646,gb_Calibrated
ahd,0.13542170822620392,gb_Calibrated
ahd,0.13576947152614594,gb_Calibrated
ahd,0.13304056227207184,gb_Calibrated
ahd,0.16179442405700684,gb_Calibrated
ahd,0.08446623384952545,gb_Calibrated
ahd,0.11198653280735016,gb_Calibrated
ahd,0.09788978099822998,gb_Calibrated
ahd,0.08580803871154785,gb_Non-Calibrated
ahd,0.2929432988166809,gb_Non-Calibrated
ahd,0.18036745488643646,gb_Non-Calibrated
ahd,0.13542170822620392,gb_Non-Calibrated
ahd,0.13576947152614594,gb_Non-Calibrated
ahd,0.13304056227207184,gb_Non-Calibrated
ahd,0.16179442405700684,gb_Non-Calibrated
ahd,0.08446623384952545,gb_Non-Calibrated
ahd,0.11198653280735016,gb_Non-Calibrated
ahd,0.09788978099822998,gb_Non-Calibrated
al,0.1769430786371231,gb_Calibrated
al,0.0,gb_Calibrated
al,0.0,gb_Calibrated
al,0.0,gb_Calibrated
al,0.0,gb_Calibrated
al,0.0,gb_Calibrated
al,0.32518598437309265,gb_Calibrated
al,0.0,gb_Calibrated
al,0.0,gb_Calibrated
al,0.0,gb_Calibrated
al,0.1769430786371231,gb_Non-Calibrated
al,0.0,gb_Non-Calibrated
al,0.0,gb_Non-Calibrated
al,0.0,gb_Non-Calibrated
al,0.0,gb_Non-Calibrated
al,0.0,gb_Non-Calibrated
al,0.32518598437309265,gb_Non-Calibrated
al,0.0,gb_Non-Calibrated
al,0.0,gb_Non-Calibrated
al,0.0,gb_Non-Calibrated
comorb,0.07346922904253006,gb_Calibrated
comorb,0.0,gb_Calibrated
comorb,0.0,gb_Calibrated
comorb,0.0,gb_Calibrated
comorb,0.0,gb_Calibrated
comorb,0.15029723942279816,gb_Calibrated
comorb,0.04968796670436859,gb_Calibrated
comorb,0.0,gb_Calibrated
comorb,0.0,gb_Calibrated
comorb,0.1996687799692154,gb_Calibrated
comorb,0.07346922904253006,gb_Non-Calibrated
comorb,0.0,gb_Non-Calibrated
comorb,0.0,gb_Non-Calibrated
comorb,0.0,gb_Non-Calibrated
comorb,0.0,gb_Non-Calibrated
comorb,0.15029723942279816,gb_Non-Calibrated
comorb,0.04968796670436859,gb_Non-Calibrated
comorb,0.0,gb_Non-Calibrated
comorb,0.0,gb_Non-Calibrated
comorb,0.1996687799692154,gb_Non-Calibrated
BMI,0.07568814605474472,gb_Calibrated
BMI,0.0,gb_Calibrated
BMI,0.08602762967348099,gb_Calibrated
BMI,0.08964911848306656,gb_Calibrated
BMI,0.11076971143484116,gb_Calibrated
BMI,0.08589541167020798,gb_Calibrated
BMI,0.06573691964149475,gb_Calibrated
BMI,0.10434350371360779,gb_Calibrated
BMI,0.09025038778781891,gb_Calibrated
BMI,0.07979702204465866,gb_Calibrated
BMI,0.07568814605474472,gb_Non-Calibrated
BMI,0.0,gb_Non-Calibrated
BMI,0.08602762967348099,gb_Non-Calibrated
BMI,0.08964911848306656,gb_Non-Calibrated
BMI,0.11076971143484116,gb_Non-Calibrated
BMI,0.08589541167020798,gb_Non-Calibrated
BMI,0.06573691964149475,gb_Non-Calibrated
BMI,0.10434350371360779,gb_Non-Calibrated
BMI,0.09025038778781891,gb_Non-Calibrated
BMI,0.07979702204465866,gb_Non-Calibrated
ll_amp,0.222377210855484,gb_Calibrated
ll_amp,0.2281634658575058,gb_Calibrated
ll_amp,0.18566052615642548,gb_Calibrated
ll_amp,0.21765492856502533,gb_Calibrated
ll_amp,0.2266266942024231,gb_Calibrated
ll_amp,0.3113730549812317,gb_Calibrated
ll_amp,0.11751426011323929,gb_Calibrated
ll_amp,0.19314685463905334,gb_Calibrated
ll_amp,0.30953478813171387,gb_Calibrated
ll_amp,0.18658684194087982,gb_Calibrated
ll_amp,0.222377210855484,gb_Non-Calibrated
ll_amp,0.2281634658575058,gb_Non-Calibrated
ll_amp,0.18566052615642548,gb_Non-Calibrated
ll_amp,0.21765492856502533,gb_Non-Calibrated
ll_amp,0.2266266942024231,gb_Non-Calibrated
ll_amp,0.3113730549812317,gb_Non-Calibrated
ll_amp,0.11751426011323929,gb_Non-Calibrated
ll_amp,0.19314685463905334,gb_Non-Calibrated
ll_amp,0.30953478813171387,gb_Non-Calibrated
ll_amp,0.18658684194087982,gb_Non-Calibrated
