Models,Accuracy,Acc_Std,Acc_95%CI,Precision,Precision_Std,Precision_95%CI,Recall,Recall_Std,Recall_95%CI,F1Score,F1Score_Std,F1Score_95%CI,AUC,AUC_std,AUC_95%CI,,,,,,,,,,,,,,,
GB_Calibrated,0.737622950819672,0.0201077417699285,0.6982117769506122 - 0.7770341246887318,0.824318152604621,0.064757860148164,0.6973927467142194 - 0.9512435584950223,0.65096875,0.0942151405223234,0.46630707457624615 - 0.8356304254237539,0.719355557722489,0.0382599741359232,0.644366008416079 - 0.7943451070288979,0.760114762931034,0.0193170730961395,0.7222532996626009 - 0.797976226199468,,,,,,,,,,,,,,,
GB_Non_Calibrated,0.736622950819672,0.0207443146677849,0.6959640940708135 - 0.7772818075685305,0.826881709718392,0.0642156390924378,0.701019057097214 - 0.9527443623395703,0.64521875,0.0939343314212491,0.4611074604143518 - 0.8293300395856481,0.716808431260491,0.0389470458766648,0.640472221342228 - 0.7931446411787539,0.757859913793104,0.0207471099206529,0.7171955783486237 - 0.7985242492375833,,,,,,,,,,,,,,,
CB_Calibrated,0.737622950819672,0.0201077417699285,0.6982117769506122 - 0.7770341246887318,0.824318152604621,0.064757860148164,0.6973927467142194 - 0.9512435584950223,0.65096875,0.0942151405223234,0.46630707457624615 - 0.8356304254237539,0.719355557722489,0.0382599741359232,0.644366008416079 - 0.7943451070288979,0.760114762931034,0.0193170730961395,0.7222532996626009 - 0.797976226199468,,,,,,,,,,,,,,,
CB_Non_Calibrated,0.736622950819672,0.0207443146677849,0.6959640940708135 - 0.7772818075685305,0.826881709718392,0.0642156390924378,0.701019057097214 - 0.9527443623395703,0.64521875,0.0939343314212491,0.4611074604143518 - 0.8293300395856481,0.716808431260491,0.0389470458766648,0.640472221342228 - 0.7931446411787539,0.757859913793104,0.0207471099206529,0.7171955783486237 - 0.7985242492375833,,,,,,,,,,,,,,,
XGB_Calibrated,0.745852459016393,0.0216848796903842,0.7033500948232403 - 0.7883548232095465,0.792678098983352,0.0549855951529897,0.6849063324834926 - 0.9004498654832122,0.713625,0.101914005855866,0.5138735485225017 - 0.9133764514774982,0.74324110418627,0.0405492837933559,0.6637645079512925 - 0.8227177004212477,0.770259698275862,0.0172308557116713,0.7364872210809862 - 0.8040321754707379,,,,,,,,,,,,,,,
XGB_Non_Calibrated,0.744639344262295,0.0219565968038024,0.7016044145268422 - 0.7876742739977477,0.792013575237076,0.0556444822421983,0.6829503900423674 - 0.9010767604317848,0.712,0.102632013549405,0.5108412534431667 - 0.9131587465568333,0.741913476141502,0.0404518870019861,0.662627777617609 - 0.8211991746653944,0.768583512931034,0.0180835886569953,0.7331396791633237 - 0.8040273466987452,,,,,,,,,,,,,,,
RF_Calibrated,0.743032786885246,0.0180371498863893,0.7076799731079226 - 0.7783856006625689,0.811323322130696,0.0605974955672859,0.692552230818815 - 0.9300944134425759,0.68021875,0.0948267278738266,0.4943583633672999 - 0.8660791366327001,0.732147249780798,0.0376915922742062,0.6582717289233534 - 0.8060227706382416,0.77015625,0.0149021726883698,0.7409479915307953 - 0.7993645084692047,,,,,,,,,,,,,,,
RF_Non_Calibrated,0.74127868852459,0.0188617211730886,0.7043097150253361 - 0.7782476620238437,0.815997720875067,0.0619675791076116,0.6945412658241478 - 0.9374541759259852,0.6700625,0.0963196589250888,0.48127596850682586 - 0.8588490314931742,0.727743333024904,0.0386328757406202,0.6520228965732884 - 0.8034637694765194,0.768897629310345,0.0152563937469267,0.7389950975663684 - 0.7988001610543212,,,,,,,,,,,,,,,
LGBM_Calibrated,0.721393442622951,0.0195515250846463,0.683072453457044 - 0.7597144317888576,0.744276272158171,0.0526187341351667,0.6411435532532445 - 0.8474089910630979,0.7324375,0.0932332479981379,0.5497003339236497 - 0.9151746660763502,0.731472020350847,0.0334703583955386,0.6658701178955915 - 0.7970739228061026,0.733539870689655,0.0274313193794858,0.679774484705863 - 0.7873052566734472,,,,,,,,,,,,,,,
LGBM_Non_Calibrated,0.725622950819672,0.0186274680082194,0.6891131135235621 - 0.7621327881157821,0.765682402434371,0.0570617542304993,0.6538413641425925 - 0.8775234407261497,0.707125,0.104968833259954,0.5013860868104908 - 0.9128639131895092,0.726533951728702,0.0389246438484169,0.6502416497858051 - 0.8028262536715992,0.747040409482759,0.0237356717853875,0.7005184927833992 - 0.7935623261821181,,,,,,,,,,,,,,,
